Nazwisko aktualne,Liczba
ŚLUSARCZYK,5055
RADOMSKI,5021
WOLNY,5017
WITCZAK,5015
MIKA,5012
ZABOROWSKI,4990
KMIECIK,4978
LIPSKI,4967
WALKOWIAK,4948
PAWELEC,4919
GRZESIAK,4913
BIAŁAS,4910
FRĄCKOWIAK,4895
SOKÓŁ,4891
KARWOWSKI,4884
BOGUCKI,4875
WNUK,4872
GAŁĄZKA,4867
KACZOROWSKI,4863
BOCHENEK,4855
FRANKOWSKI,4836
ZYGMUNT,4829
ŻMUDA,4828
CICHY,4817
PASTERNAK,4805
KWAŚNIEWSKI,4774
WIĘCKOWSKI,4766
WÓJCICKI,4749
NAWROT,4748
MROCZEK,4733
JUSZCZAK,4726
GAWEŁ,4725
PIETRAS,4721
JANAS,4688
DUDZIŃSKI,4670
KARAŚ,4665
ŁAPIŃSKI,4651
ROSIAK,4649
FIJAŁKOWSKI,4648
LASOTA,4648
MISIAK,4644
SKRZYPEK,4640
BUJAK,4633
WOJTCZAK,4632
PIÓRKOWSKI,4621
WROŃSKI,4610
KRYSIAK,4605
JĘDRZEJCZYK,4590
KUBACKI,4586
KOŁODZIEJSKI,4585
CZYŻEWSKI,4559
GRUSZCZYŃSKI,4559
PIWOWARCZYK,4559
DĄBEK,4558
GUTOWSKI,4554
KOVALCHUK,4547
BURZYŃSKI,4528
BOROWIEC,4517
SZAFRAŃSKI,4497
SOŁTYS,4493
MASŁOWSKI,4489
ŁUKASZEWSKI,4488
DZIUBA,4484
TARNOWSKI,4481
STELMACH,4479
JAGIEŁŁO,4478
JAGODZIŃSKI,4470
ZIELONKA,4463
BOBER,4459
CEBULA,4451
KRAKOWIAK,4448
KAŁUŻNY,4437
CYGAN,4436
ZAJĄCZKOWSKI,4433
ŁUKASIEWICZ,4421
ROMANIUK,4421
LISIECKI,4412
WOŹNY,4411
BIELAWSKI,4407
FALKOWSKI,4398
SKOCZYLAS,4396
WILCZEK,4392
FILIPEK,4390
PAKUŁA,4379
JURKIEWICZ,4378
PILARSKI,4377
KAŁUŻA,4375
SZCZEŚNIAK,4372
DRZEWIECKI,4368
JAKUBIAK,4365
SKIBIŃSKI,4354
SOBIERAJ,4346
JĘDRZEJCZAK,4337
DĘBOWSKI,4324
KĘDZIORA,4324
GĄSIOROWSKI,4320
STRZELCZYK,4312
KULIG,4289
FLIS,4281
TWARDOWSKI,4270
GUZIK,4268
STANEK,4267
RACZYŃSKI,4264
GOŁĄB,4261
MIERZEJEWSKI,4245
WIĘCEK,4242
WASIAK,4238
GÓRNIAK,4235
MAJCHER,4231
RUSIN,4228
GÓRAL,4211
KUBICA,4208
WOLAK,4190
MATUSZAK,4186
MOTYKA,4184
BARTOSIK,4172
BURY,4166
FLOREK,4164
GRZYWACZ,4161
DROZDOWSKI,4139
WOJTAS,4134
BILSKI,4131
PYTEL,4129
SZWED,4127
STOLARCZYK,4104
URBAŃCZYK,4103
CHOLEWA,4101
NOWACZYK,4098
CZAPLA,4097
KASZUBA,4081
KRUPIŃSKI,4081
PARTYKA,4076
SHEVCHENKO,4076
KOPCZYŃSKI,4074
PACZKOWSKI,4071
BIELAK,4067
ZAGÓRSKI,4061
PROKOP,4045
GWÓŹDŹ,4044
DUBIEL,4040
RUCIŃSKI,4038
JAŚKIEWICZ,4035
MISZTAL,4035
MICHAŁEK,4033
STASZEWSKI,4033
KUC,4025
BOIKO,4019
MALICKI,4013
KAPUSTA,4004
BOŻEK,4003
SIEDLECKI,3991
BIAŁY,3982
JANKOWIAK,3982
ŚWIERCZYŃSKI,3976
KĘPA,3967
PŁONKA,3963
KUCHTA,3957
MODZELEWSKI,3952
CISZEWSKI,3949
BIEŃKOWSKI,3944
SKÓRA,3944
ANDRZEJCZAK,3942
JURKOWSKI,3935
JANUSZ,3934
SIERADZKI,3934
GAŁKA,3933
SZCZERBA,3933
ZWOLIŃSKI,3931
MILCZAREK,3930
SŁAWIŃSKI,3926
SŁOWIŃSKI,3926
PAWLIKOWSKI,3919
KACZMARSKI,3916
STACHURA,3916
SITEK,3899
SZYSZKA,3896
SOCHACKI,3884
JEZIERSKI,3871
ROSA,3871
IVANOV,3856
STĘPNIAK,3854
JACKOWSKI,3853
BRODA,3839
KOLASA,3836
DUDZIK,3830
CHMURA,3826
WOŚ,3825
LIPKA,3820
MROCZKOWSKI,3812
DEC,3805
IWAŃSKI,3799
MAŚLANKA,3799
KWIECIŃSKI,3790
MAJKA,3786
KOGUT,3783
NOGA,3782
MOROZ,3772
OLCZAK,3772
KNAPIK,3765
CHOJNOWSKI,3760
SZATKOWSKI,3753
SALAMON,3746
TOKARZ,3746
SKALSKI,3732
LENART,3730
NGUYỄN,3730
TRZECIAK,3724
DUDZIAK,3721
WYSZYŃSKI,3720
KITA,3718
KOWALCZUK,3715
FLORCZAK,3714
MAŃKOWSKI,3711
PASZKOWSKI,3706
KOS,3705
KOZA,3701
STANISŁAWSKI,3697
DOBRZYŃSKI,3695
BUCZYŃSKI,3692
MICHALCZYK,3689
KOŁAKOWSKI,3687
KOBUS,3685
KOTOWSKI,3683
ZDUNEK,3682
KRUSZEWSKI,3680
MROZEK,3680
SKOWRONEK,3678
MOLENDA,3673
PUCHALSKI,3671
WŁODARSKI,3670
KAWA,3663
JANUSZEWSKI,3651
CHUDY,3629
WARCHOŁ,3621
ŻUK,3617
KIEŁBASA,3610
PRUS,3610
DOMINIAK,3608
CZECHOWSKI,3606
GRZESIK,3606
SINGH,3597
PILCH,3588
ROBAK,3588
AUGUSTYN,3586
ADAMUS,3578
WIĄCEK,3576
ADAMCZAK,3573
PIECHOTA,3565
RYŚ,3565
KŁOSOWSKI,3557
ADAMEK,3552
CHUDZIK,3548
RUDNIK,3548
MACIĄG,3544
SURMA,3538
JAGIELSKI,3535
GŁOGOWSKI,3530
BĄKOWSKI,3526
MALIK,3525
FILIPOWICZ,3522
JURCZAK,3520
STOLARSKI,3518
PRZYBYŁ,3517
JARZĄBEK,3513
RUDZIŃSKI,3513
KOPER,3512
MOSKAL,3508
MARCHEWKA,3505
NIEDŹWIECKI,3505
ŻYŁA,3502
KALISZ,3500
DĄBKOWSKI,3496
TOMALA,3494
SHEVCHUK,3492
PORĘBSKI,3476
KASPEREK,3475
BANASIK,3470
KUŹMA,3461
KOPACZ,3458
STAŃCZAK,3457
BUDZYŃSKI,3455
OLEKSY,3455
ROMAN,3455
FURMAN,3454
KOVALENKO,3439
GADOMSKI,3435
GORCZYCA,3435
BONDARENKO,3434
PANASIUK,3428
KANIEWSKI,3425
PIŁAT,3421
MIŚKIEWICZ,3415
SOŁTYSIAK,3410
JAROS,3408
TRACZ,3408
NIEMCZYK,3406
BUCZKOWSKI,3403
WYPYCH,3396
ZIĘTEK,3386
GOLEC,3378
BARTNIK,3368
DRABIK,3365
KRUCZEK,3363
KORZENIOWSKI,3362
SOJKA,3359
KUCIŃSKI,3358
SZYMKOWIAK,3358
SZELĄG,3350
WOLIŃSKI,3347
STACHURSKI,3340
KOVAL,3333
OSSOWSKI,3328
PELC,3323
ZABŁOCKI,3319
STACHOWICZ,3308
KUJAWSKI,3307
NGUYEN,3307
BALCERZAK,3306
PIOTROWICZ,3305
BŁASZCZAK,3303
TRELA,3301
MAGIERA,3299
BUDZIŃSKI,3298
SĘK,3297
RADECKI,3292
SZUBA,3292
BIELSKI,3291
WARZECHA,3289
ADAMIAK,3288
JURCZYK,3284
RYBARCZYK,3284
HERMAN,3281
KOZIK,3273
PIETRUSZKA,3273
LESIAK,3272
ŚLĘZAK,3271
DRÓŻDŻ,3269
RUDZKI,3264
FRĄTCZAK,3258
MIERZWA,3257
BIAŁKOWSKI,3250
KMIEĆ,3246
KOSTECKI,3246
KULIŃSKI,3246
NIEDZIELSKI,3246
KRAKOWSKI,3243
MILLER,3242
GŁĄB,3240
TOMASIK,3238
ŚWIDER,3229
SOBOTA,3223
ADAMOWICZ,3222
BIELIŃSKI,3221
KOSOWSKI,3215
ZIMNY,3215
BANASZEK,3205
GUT,3202
WOŹNICA,3202
PEŁKA,3198
OLCZYK,3197
SKORUPA,3195
POLAŃSKI,3186
WOŁOSZYN,3186
STAWICKI,3185
GRUDZIEŃ,3182
PAWLICKI,3177
GRZEŚKOWIAK,3174
SOBAŃSKI,3173
URBANEK,3172
POGORZELSKI,3170
SEKUŁA,3165
WOJTASIK,3157
BORYS,3154
CZEKAJ,3148
TOKARCZYK,3147
PIWOWARSKI,3143
ŚMIGIELSKI,3139
KAWECKI,3129
SEMENIUK,3124
BOGACZ,3117
KĘDZIOR,3115
LISZKA,3115
LORENC,3105
PIĘTKA,3102
WOJTKOWIAK,3101
TKACHENKO,3100
LITWIN,3097
KNAP,3090
URBANOWICZ,3089
GACEK,3077
ŻUCHOWSKI,3077
SZWARC,3075
ŚWIĄTKOWSKI,3073
JUSZCZYK,3072
CZERNIAK,3065
